Time,Value
9.19,106620
9.208,106541
9.228,106647
9.249,106648
9.269,106674
9.287,106766
9.307,106709
9.328,106655
9.349,106734
9.367,106731
9.387,106756
9.408,106857
9.428,106780
9.448,106733
9.468,106800
9.488,106816
9.51,106832
9.528,106928
9.548,106854
9.568,106853
9.588,106924
9.609,106826
9.629,106760
9.649,106740
9.67,106579
9.689,106515
9.709,106534
9.729,106509
9.749,106548
9.768,106584
9.788,106481
9.808,106455
9.829,106513
9.848,106446
9.868,106509
9.888,106564
9.908,106466
9.928,106437
9.948,106488
9.969,106441
9.99,106517
10.008,106541
10.028,106452
10.049,106491
10.069,106560
10.089,106540
10.109,106615
10.129,106662
10.151,106562
10.169,106654
10.189,106661
10.209,106620
10.229,106724
10.25,106723
10.268,106658
10.288,106663
10.31,106725
10.33,106662
10.348,106772
10.368,106787
10.388,106723
10.409,106712
10.429,106667
10.449,106530
10.47,106533
10.489,106520
10.509,106350
10.529,106385
10.549,106417
10.569,106382
10.589,106483
10.61,106483
10.631,106398
10.649,106311
10.669,106485
10.69,106453
10.71,106538
10.73,106528
10.748,106431
10.769,106465
10.79,106501
10.81,106495
10.83,106608
10.849,106715
10.869,106520
10.889,106606
10.909,106627
10.929,106647
10.951,106760
10.969,106731
10.989,106671
11.009,106744
11.029,106762
11.05,106759
11.07,106853
11.09,106850
11.111,106787
11.13,106810
11.15,106863
11.17,106884
11.19,107040
11.21,107045
11.23,106905
11.249,106756
11.27,106653
11.29,106659
11.31,106696
11.329,106505
11.349,106459
11.369,106544
11.389,106549
11.41,106534
11.431,106643
11.449,106500
11.469,106532
11.49,106585
11.51,106571
11.53,106597
11.55,106697
11.57,106680
11.592,106653
11.638,106634
11.658,106735
11.678,106660
11.698,106632
11.719,106746
11.739,106732
11.759,106762
11.78,106856
11.799,106774
11.819,106753
11.839,106853
11.859,106824
11.879,106886
11.898,106948
11.918,106897
11.939,106858
11.959,106947
11.978,106941
11.998,106949
12.018,106940
12.038,106728
12.058,106609
12.079,106602
12.1,106528
12.118,106565
12.138,106599
12.159,106503
12.179,106478
12.199,106528
12.219,106501
12.239,106571
12.259,106607
12.279,106521
12.299,106495
12.319,106550
12.338,106490
12.358,106556
12.378,106610
12.398,106519
12.42,106541
12.438,106608
12.458,106583
12.478,106621
12.498,106681
12.519,106588
12.539,106586
12.559,106676
12.58,106622
12.599,106680
12.619,106717
12.639,106626
12.659,106656
12.678,106694
12.698,106655
12.718,106723
12.739,106751
12.758,106648
12.778,106703
12.798,106746
12.818,106724
12.838,106818
12.858,106783
12.879,106581
12.9,106509
12.918,106426
12.938,106329
12.959,106366
12.979,106357
12.999,106251
13.019,106292
13.038,106303
13.059,106257
13.079,106360
13.099,106368
13.118,106254
13.138,106298
13.158,106333
13.178,106293
13.198,106393
13.22,106362
13.238,106244
13.258,106317
13.278,106343
13.298,106305
13.319,106458
13.339,106409
13.359,106342
13.38,106424
13.399,106445
13.419,106434
13.439,106546
13.457,106518
13.478,106429
13.498,106514
13.518,106521
13.539,106560
13.558,106669
13.578,106638
13.598,106576
13.618,106646
13.638,106657
13.658,106656
13.679,106735
13.7,106619
13.718,106429
13.738,106418
13.759,106339
13.779,106304
13.799,106373
13.817,106324
13.837,106264
13.859,106334
13.879,106332
13.897,106347
13.917,106456
